Transcription,Phonetic IPA,IPA 2,Syllables,IPA (OLD),Meaning,Persian Meaning,Part of Speech,Form,Etymology,Cognates,Citations,Date,Notes,,,,,,
sokolo,so.ko.lo,,3,,white,,adjective,<f> sokoli,Skt. śukrá (CDIAL 12506),,,"October 15, 2020",,,,,,,
sāl,sɔl,,1,,year,,noun,,Prs. sāl,,,"October 15, 2020",,,,,,,
sāo,sɔ.o,,2,,green,,adjective,,"Skt. śyāvá (CDIAL 12672) ""dark, dark brown""",Sd. sāo,,"October 15, 2020",,,,,,,
tʰal,tʰal,,1,,mountain,,noun,,Skt. sthála (CDIAL 13774)?,,,"October 15, 2020",,,,,,,
tʰāđo,tʰɔ.ðo,,2,,cold,,adjective,,Skt. stabdha (CDIAL 13676),,,"October 15, 2020",,,,,,,
vāt,ʋɔt,,1,,"path, road",,noun,,Skt. vártman (CDIAL 11366),,,"October 15, 2020",,,,,,,
xarāb,xa.rɔb,,2,,rotten,,adjective,,Prs. xarāb,,,"October 15, 2020",,,,,,,
zardo,zar.do,,2,,yellow,,adjective,,Prs. zarde,,,"October 15, 2020",,,,,,,
gohro,goh.ro,,2,,horse,,noun,,Skt. ghōṭa (CDIAL 4516),,,"October 16, 2020",,,,,,,
hamešā,ha.me.ʃɔ,,3,,always,,adverb,,Prs. hameša,,,"October 16, 2020",,,,,,,
matbax,mat.bax,,2,,kitchen,,noun,,Prs. matbax,,,"October 16, 2020",,,,,,,
motor,mo.tor,,2,,car,,noun,,Eng. motor,,,"October 16, 2020",,,,,,,
pačen?,pa.t͡ʃen,,2,,to come,,verb,,,,,"October 16, 2020",,,,,,,
sānda,sɔn.da,,2,,with (comitative),,postposition,,Skt. santaka (CDIAL 13127),"Sd. sando (old genitive suffix), Marwari hando",,"October 16, 2020",,,,,,,
atto,at.to,,2,,flour,,noun,,Skt. *ārta (CDIAL 1338),,,"October 18, 2020",,,,,,,
čeri,t͡ʃe.ri,,2,,"chick, baby chicken",,noun,,Larestani čori?,,,"October 18, 2020",,,,,,,
čuki,t͡ʃu.ki,M: [t͡ʃu.ki],2,,chicken,,noun,,,,,"October 18, 2020",,,,,,,
deres karen,de.res ka.ren,,4,,to cook,,verb,,,,,"October 18, 2020",,,,,,,
fil,fil,,1,,elephant,,noun,,Prs. fīl,,,"October 18, 2020",,,,,,,
gārbo,gɔr.bo,,2,,cat,,noun,,Prs. garba,,,"October 18, 2020",,,,,,,
gāv,gɔʋ,,1,,cow,گاو,noun,,Prs. gāv or Skt. *gāva (CDIAL 4147) < gṓ,,,"October 18, 2020",,,,,,,
jiro,d͡ʒi.ro,,2,,food,,noun,,,,,"October 18, 2020",,,,,,,
meš,meʃ,,1,,mouse,,noun,,Prs. mūš,,,"October 18, 2020",,,,,,,
nam,nam,,1,,oil,,noun,,,,,"October 18, 2020",,,,,,,
rubā,ru.bɔ,,2,,fox,,noun,,Prs. rubah ,,,"October 18, 2020",,,,,,,
šādi,ʃɔ.di,,2,,monkey,,noun,,Larestani šādī,,,"October 18, 2020",,,,,,,
sāl,sɔl,,1,,rice,,noun,,Skt. *cāmala (CDIAL 4749)?,,,"October 18, 2020",,,,,,,
xallo,xal.lo,,2,,barley,,noun,,Skt. khála (CDIAL 3834) 'threshing floor'?? probably not,,,"October 18, 2020",,,,,,,
xers,xers,,1,,bear,,noun,,Prs. xers,,,"October 18, 2020",,,,,,,
xorāk,xo.rɔk,,2,,food,,noun,,Prs. xorāk,,,"October 18, 2020",,,,,,,
xuk,xuk,,1,,pig,,noun,,Prs. xūk,,,"October 18, 2020",,,,,,,
andāđo,an.do.ðo,,3,,dark,,adjective,,Skt. andhá (CDIAL 385) with some extension,"Sd. andho 'blind', ãdhāru 'darkness'",,"October 20, 2020",,,,,,,
daliča,da.li.t͡ʃa,,3,,window,,noun,,Prs. dariče,,,"October 20, 2020",,,,,,,
dang tʰiyen,daŋg tʰi.jen,,3,,to become full,,verb,,,,,"October 20, 2020",,,,,,,
javdan,d͡ʒaʋ.dan,,2,,table,,noun,,,,,"October 20, 2020",,,,,,,
nim(b),nim(b),,1,,half,,numeral,,Prs. nīm,,,"October 20, 2020",,,,,,,
rovšan,roʋ.ʃan,,2,,bright,,adjective,,Prs. rowšan,,,"October 20, 2020",,,,,,,
šam,ʃam,,1,,candle,,noun,,Prs. šam',,,"October 20, 2020",,,,,,,
xoli,xo.li,,2,,empty,,adjective,,Prs. xālī,,,"October 20, 2020",,,,,,,
berm,berm,,1,,eyebrow,,noun,,Larestani burm/borm,,,"November 2, 2020",,,,,,,
bābo,bɔ.bo,,2,,father's brother,,noun,,Skt. *bābba (CDIAL 9209),P. bābbā,,"November 2, 2020",,,,,,,
čuri karen,t͡ʃu.ri ka.ren,,4,,to steal,دزدیدن,verb,,Skt.,,,"November 2, 2020",,,,,,,
dahri,dah.ri,,2,,beard,,noun,,Skt. *dāṁṣṭra (CDIAL 6250),,,"November 2, 2020",,,,,,,
doter,do.ter,,2,,grandchild,,noun,,Skt. daúhitra (CDIAL 6605),Sd. ḍ̠ohiṭro,,"November 2, 2020",,,,,,,
hamriš,ham.riʃ,,2,,brother-in-law,,noun,,Prs. hamriš,,,"November 2, 2020",,,,,,,
jān,d͡ʒɔn,,1,,body,,noun,,Prs. jān?,,,"November 2, 2020",,,,,,,
juti,d͡ʒu.ti,,2,,shoe,کفش,noun,,"Larestani juti, Gulf Arabic juti (pl. juwāti) from Hindi jūtā",,,"November 2, 2020",,,,,,,
kalko,kal.ko,,2,,cheek,,noun,,,,,"November 2, 2020",,,,,,,
kassāb,kas.sɔb,,2,,butcherer,قصاب,noun,,Ar. qassāb,,,"November 2, 2020",,,,,,,
kesam xāyen,ke.sam xɔ.jen,,4,,to vow,قسم خوردن,verb,,Prs. qasam xordan,,,"November 2, 2020",,,,,,,
kešāvarz,ke.ʃɔ.ʋarz,,3,,farmer,,noun,,Prs. kešāvarz,,,"November 2, 2020",,,,,,,
komak karen,ko.mak ka.ren,,4,,to help,کمک کردن,verb,,Prs. komak kardan,,,"November 2, 2020",,,,,,,
momo,mo.mo,M: [mõ.mõ],2,,mother's brother,,noun,,Skt. māma (CDIAL 10055),,,"November 2, 2020",,,,,,,
mosi,mo.si,,2,,mother's sister,,noun,,Skt. mātuḥṣvasr̥ (CDIAL 10001),,,"November 2, 2020",,,,,,,
nari,na.ri,M: [näː.ɽ(ˠ)i],2,,throat,,noun,,Skt. nāḍī́ (CDIAL 7047),,,"November 2, 2020",,,,,,,
noni,no.ni,,2,,grandmother,,noun,,Skt. *nānna (CDIAL 7059),,,"November 2, 2020",,,,,,,
pʰepi,pʰe.pi,,1,,father's sister,,noun,,Skt. *phupphu (CDIAL 9089),,,"November 2, 2020",,,,,,,
pālā diyen,pɔ.lɔ di.jen,,4,,to insult,توهین کردن,verb,,,,,"November 2, 2020",,,,,,,
pātlun,pɔt.lun,,2,,pants,شلوار,noun,,Eng. pantaloon,,,"November 2, 2020",,,,,,,
varet,ʋa.ret,,2,,"groom, son-in-law",,noun,,Skt. vará (CDIAL 11309),,,"November 2, 2020",,,,,,,
vaz,ʋaz,,1,,bride,,noun,,Skt. vadhū (CDIAL 11250)?,,,"November 2, 2020",,,,,,,
vyāvāy,ʋjɔ.ʋɔj,,2,,family,خانواده,noun,,Native vyāw + -āy?,,,"November 2, 2020",,,,,,,
ake,a.ke,,2,,near,,postposition,,,,,"November 9, 2020",,,,,,,
al'ān,al.ʔɔn,,2,,now,,adverb,,Prs. al'ān,,,"November 9, 2020",,,,,,,
čʰo,t͡ʃʰo,,1,,what,,pronoun,,Skt.,,,"November 9, 2020",,,,,,,
balāl,ba.lɔl,,2,,"maize, corn",,noun,,Prs. balāl,,,"November 10, 2020",,,,,,,
bāđemjān,bɔ.ðem.d͡ʒɔn,,3,,eggplant,,noun,,Prs. bādemjān,,,"November 10, 2020",,,,,,,
bosang,bo.saŋg,,2,,fist,مشت,noun,,,,,"November 10, 2020",,,,,,,
čaben,t͡ʃa.ben,,2,,to chew,جویدن,verb,,Skt. cárvati (CDIAL 4711),Sd. caḇaṇu,,"November 10, 2020",,,,,,,
čēl,t͡ʃel,,1,,waist,کمر,noun,,,,,"November 10, 2020",,,,,,,
dahri tale,dah.ri ta.le,,4,,chin,چانه,noun,,Native dahri + tale?,,,"November 10, 2020",,,,,,,
erak karen,e.rak ka.ren,,4,,to sweat,عرق کردن,verb,,Prs. araq kardan,,,"November 10, 2020",,,,,,,
gezar,ge.zar,,2,,carrot,,noun,,Larestani gezar,,,"November 10, 2020",,,,,,,
hulu,hu.lu,,2,,peach,,noun,,Prs. hulu,,,"November 10, 2020",,,,,,,
močak,mo.t͡ʃak,,2,,wrist,مچ,noun,,Prs. moč + -ak,,,"November 10, 2020",,,,,,,
movz,moʋz,,1,,banana,,noun,,Prs. mowz,,,"November 10, 2020",,,,,,,
mox,mox,,1,,brain,مغز,noun,,Prs. mox,,,"November 10, 2020",,,,,,,
nefas,ne.fas,,2,,breath,نفس,noun,,Prs. nafas,,,"November 10, 2020",,,,,,,
nei,ne.i,M: [ne̞i],2,,navel,ناف,noun,,Skt. nāˊbhi (CDIAL 7062)?,,,"November 10, 2020",,,,,,,
nimur,ni.mur,,2,,lemon,,noun,,Larestan nimur,,,"November 10, 2020",,,,,,,
olu,o.lu,,2,,potato,,noun,,Skt. ālu (CDIAL 1388),Sd. ālū (borrowed from Urdu?),,"November 10, 2020",,,,,,,
portaxāl,por.ta.xɔl,,3,,orange,,noun,,Prs. porteġāl < Portugal,,,"November 10, 2020",,,,,,,
pyāj,pjɔd͡ʒ,,1,,onion,,noun,,Prs. piyāz but the z > j is very strange,,,"November 10, 2020",,,,,,,
šekken,ʃek.ken,,2,,to cough; to sneeze,سرفه کردن,verb,,"Skt. chikkā (CDIAL 5032) ""sneeze""?",,,"November 10, 2020",,,,,,,
senen,se.nen,,2,,to hear,شنیدن,verb,,Skt. śr̥ṇṓti (CDIAL 12598),Sd. suṇaṇu,,"November 10, 2020",,,,,,,
sir,sir,,1,,garlic,,noun,,Prs. sir,,,"November 10, 2020",,,,,,,
tamāta,ta.mɔ.ta,,3,,tomato,,noun,,Eng. tomato,Hindi ṭamāṭar,,"November 10, 2020",,,,,,,
tāffo,tɔf.fo,,2,,apple,,noun,<pl.obl> tāffen,Ar. tuffāḥ,,,"November 10, 2020",,,,,,,
xars,xars,,1,,tears,اشک,noun,,Larestani xars,,,"November 10, 2020",,,,,,,
xaru,xaru,,1,,date (fruit),,noun,,Prs. xormā or Skt. kharjūˊra (CDIAL 3828)?,,,"November 10, 2020",,,,,,,
zorat,zo.rat,,2,,"maize, corn",,noun,,Prs. zorat,,,"November 10, 2020",,,,,,,
kerā,ke.rɔ,,2,,which one?,,pronoun,,Skt.,Sd. ker,,"November 19, 2020",,,,,,,
nivisen,ni.vi.sen,,3,,to write,,verb,,"Prs. naveštan, neveštan",,,"November 19, 2020",,,,,,,
jolo,d͡ʒo.lo,,2,,spider,,verb,,"Skt. jā́la (CDIAL 5213) ""web""??",,,"December 2, 2020",,,,,,,
kabutar,ka.bu.tar,,3,,pigeon,,noun,,Prs. kabutar,,,"December 2, 2020",,,,,,,
kak,kak,,1,,flea,,noun,,Prs. kak,,,"December 2, 2020",,,,,,,
konjen,kon.d͡ʒen,,2,,to want,,verb,,Skt. kā́ṅkṣati (CDIAL 3002),Kashmiri kã̄chun (not common); seems to be quite a conservatism,,"December 2, 2020",,,,,,,
matti,mat.ti,,2,,dirt,,verb,,Skt. mŕ̊ttikā (CDIAL 10286),,,"December 2, 2020",,,,,,,
maxi,ma.xi,,2,,fly,,noun,,Skt. mákṣikā (CDIAL 9696),,,"December 2, 2020",,,,,,,
ānen,ɔ.nen,,2,,to bring,,verb,,Skt. ā́nayati (CDIAL 11714),,,"December 2, 2020",,,,,,,
royen,rɔ.jen,,2,,to cry,,verb,,Skt. rōdati (CDIAL 10840),,,"December 2, 2020",,,,,,,
tʰiyen,tʰi.jen,,2,,to become,,verb,,Skt. *sthāti (CDIAL 13752),,,"December 2, 2020",,,,,,,
baxoro,ba.xo.ro,,3,,sheep,,noun,,Skt. bárkara (CDIAL 9153),,,"December 9, 2020",,,,,,,
čarem,t͡ʃa.rem,,2,,leather,,noun,,Prs. čarm,,,"December 9, 2020",,,,,,,
esal,e.sal,,2,,honey,,noun,,Prs. 'asal,,,"December 9, 2020",,,,,,,
jodugar,d͡ʒo.du.gar,,3,,witch,,noun,,Prs. jādugar,,,"December 9, 2020",,,,,,,
kelam,ke.lam,,2,,cabbage,,noun,,Prs. kalam,,,"December 9, 2020",,,,,,,
olu,o.lu,,2,,plum,,noun,,Prs. ālu,,,"December 9, 2020",,,,,,,
pašem,pa.ʃem,,2,,wool,,noun,,Prs. pašam,,,"December 9, 2020",,,,,,,
puni jelji,pu.ni d͡ʒel.d͡ʒi,,4,,cotton,,noun,,,,,"December 9, 2020",,,,,,,
ruh,ruh,,1,,soul,,noun,,Prs. ruh,,,"December 9, 2020",,,,,,,
sarbāz,sar.bɔz,,2,,soldier,,noun,,Prs. sarbāz,,,"December 9, 2020",,,,,,,
tābesān,tɔ.be.sɔn,,3,,summer,,noun,,Prs. tābestān,,,"December 9, 2020",,,,,,,
tula,tu.la,,2,,puppy,,noun,,Prs. tula,,,"December 9, 2020",,,,,,,
zemesān,ze.me.sɔn,,3,,winter,,noun,,Prs. zemestān,,,"December 9, 2020",,,,,,,
bakkāu,bak.kɔ.u,,3,,frog,,noun,,Prs. bak?,,,"December 22, 2020",,,,,,,
goj,god͡ʒ,,1,,bee,,noun,,,,,"December 22, 2020",,,,,,,
parvāna,par.ʋɔ.na,,3,,butterfly,,noun,,,,,"December 22, 2020",,,,,,,
saodo,sa.o.do,,3,,rabbit,,noun,,Skt. śaśá (CDIAL 12359)?,"Sd. saho, sahyaṛo",,"December 22, 2020",,,,,,,
ačānen?,a.t͡ʃɔ.nen,,3,,to blow,,verb,,,,,"December 29, 2020",,,,,,,
avval,aʋ.ʋal,,2,,first,,adjective,,Prs. avval,,,"December 29, 2020",,,,,,,
bad,bad,,1,,then,,conjunction,,Prs. ba'ad,,,"December 29, 2020",,,,,,,
ball,ball,,1,,strength,,noun,,Skt. bála (CDIAL 9161),,,"December 29, 2020",,,,,,,
bād,bɔd,,1,,wind,,noun,,Prs. bād,,,"December 29, 2020",,,,,,,
ekrār,ek.rɔr,,2,,agreement,,noun,,Prs. eqrār,,,"December 29, 2020",,,,,,,
karār,ka.rɔr,,2,,agreed,,adjective,,Prs. qarār,,,"December 29, 2020",,,,,,,
kavi,ka.ʋi,,2,,strong,,adjective,<comp> kavioro,Prs. qavi,,,"December 29, 2020",,,,,,,
ke,ke,,1,,that (complementiser),,particle,,Prs. keh,,,"December 29, 2020",,,,,,,
koloft,ko.loft,,2,,thick,,adjective,,Prs. koloft,,,"December 29, 2020",,,,,,,
lebās,le.bɔs,,2,,clothing,,noun,,Prs. lebās,,,"December 29, 2020",,,,,,,
len?,len,,1,,to put?,,verb,,Skt. lábhatē (CDIAL 10948),Sd. lahaṇu,,"December 29, 2020",,,,,,,
majbur,mad͡ʒ.bur,,2,,compelled,,adjective,,Prs. majbur,,,"December 29, 2020",,,,,,,
malum,ma.lum,,2,,known,,adjective,,Prs. ma'alum,,,"December 29, 2020",,,,,,,
mosāfer,mo.sɔ.fer,,3,,traveller,,noun,,Prs. mosāfer,,,"December 29, 2020",,,,,,,
ākebat,ɔ.ke.bat,,3,,finally,,adverb,,Prs. 'āqebat,,,"December 29, 2020",,,,,,,
āngālen?,ɔŋ.gɔ.len,,3,,to take off (clothing),,verb,,,,,"December 29, 2020",,,,,,,
pas,pas,,1,,so,,conjunction,,Prs. pas,,,"December 29, 2020",,,,,,,
pečānen?,pe.t͡ʃɔ.nen,,3,,to wrap,,verb,,Prs. pêčidan?,,,"December 29, 2020",,,,,,,
sagen,sa.gen,,2,,to be able to [+subjunctive verb],,verb,,Skt. saghnṓti (CDIAL 13080),Sd. sagaṇu,,"December 29, 2020",,,,,,,
sanā,sa.nɔ,,2,,tired,,adjective,,,,,"December 29, 2020",,,,,,,
sokoro,so.ko.ro,,3,,each?,,?,,,,,"December 29, 2020",,,,,,,
šomār,ʃo.mɔr,,2,,north,,noun,,Larestani,Prs. šomāl,,"December 29, 2020",,,,,,,
var,ʋar,,1,,"greater, more",,adjective,,Skt. vára (CDIAL 11308)? or a derivation from √vr̥dh 'to increase'?,,,"December 29, 2020",,,,,,,
xaten,xa.ten,,2,,to shine,,verb,,,,,"December 29, 2020",,,,,,,
xorši,xɔr.ʃi,,2,,sun,,noun,,Larestani,Prs. x(w)oršid,,"December 29, 2020",,,,,,,
zereng,ze.reŋg,,2,,clever,,adjective,<comp> zerengoro,Prs. zereng,,,"December 29, 2020",,,,,,,
bāfen,bɔ.fen,,2,,to weave,,verb,,Prs. bāftan,,,,,,,,,,
čeli pete,t͡ʃe.li pe.te,M: [t͡ʃeː.li pe̞.te̞],4,,back (body part),,noun,,Native,,,,,,,,,,
dar,dar,,1,dâɾ,door,,noun,,Prs. dar,,,,,,,,,,
deðā,de.ðɔ,M: [de̞.zɔ ~ de̞.ðɔ],2,,older sister,,noun,,,,,,,,,,,,
gov,goʋ,M: [gow],1,,cow,,noun,,,,,,,,,,,,
jo,d͡ʒo,,1,,s (genitive),,postposition,,Skt.,Sd. jo,,,,,,,,,
meter,me.ter,M: [mɛ.te̞r],2,,urine,,noun,,Skt. mū́tra (CDIAL 10234),,,,,,,,,,
moji,mo.d͡ʒi,,2,mõ̀.d͡ʒî,my,,pronoun,feminine,Skt.,Sd. muhinji,,,,,,,,,
mārez,mɔ.rez,M: [mɔː.ɾe̞ːz],2,,human being; humanity,,noun,,,,,,,,,,,,
nāl,nɔl,M: [nɔːl],1,,branch,,noun,,,,,,,,,,,,
nāy,nɔj,,1,nɑ̂i̯,name,,noun,,Skt. nā́man (CDIAL 7067),,,,,,,,,,
nāyo,nɔj.o,,2,,name,,noun,,Skt. nā́man (CDIAL 7067),,,,,,,,,,
āve,ɔ.ʋe,,2,ɔ̀ː.ʋê,you all (pl.),,pronoun,,Skt.,Sd. avī,,,,,,,,,
pet,pet,M: [peːt],1,,"belly, abdomen",,noun,,Skt. *pēṭṭa (CDIAL 8376),,,,,,,,,,
pov,poʋ,M: [pow],1,,younger brother,,noun,,,,,,,,,,,,
tap,tap,M: [t̻äːp],1,,goat,,noun,,,,,,,,,,,,
vazoro,ʋa.zo.ro,M: [va.zo.ɾo],3,,"elder, chief",,noun,,Native vazo + -ro?,,,,,,,,,,